ID,Date,Title,Introduction,Information,Serves,Makes,Diet,Meat Type,Time taken,Cuisine,Dish Type,Difficulty,Photo?,DONE?,,,,
1,,Tomato and Courgette Gratin,"If you have a garden which is overflowing with both courgettes and tomatoes at the moment, this dish is an excellent way to put them to use! You may use any mild cheese for this, such as mild cheddar, edam, or gruyere.",Adapted from a recipe on bbcgoodfood.com,3,-,2,1,2,1,1,easy,,,Meat Type ID,,Time Taken ID,
2,,"Courgette, Bacon and Flageolet Bean Stew","This dish has the advantage that it is all cooked in one pot, so it's really easy. Plus it’s absolutely delicious! ",Thanks to Jack Caesar for this recipe.,3,-,,6,2,2,1,easy,,,1,Vegetable,1,0-30mins
3,,"Tomato, Caper and Shallot Salad","A lovely light salad that is great as a side dish, or served as a starter/aperitif",Adapted from a recipe found in Rick Stein's French Odyssey,4,-,1,1,1,1,3,easy,,,2,Beef,2,30mins-1hr
4,,Good Hearty Ministrone Soup,"An authentic ministrone soup absolutely must be made with vegetable that are in season. This one is great to make around now, as the summer turns into autumn.",Adapted from a recipe found in Jamie's Italy,4,-,,6,3,2,5,easy,Y,Y,3,Chicken,3,1hr-1.5hr
5,,Wild Chanterelle and Roast Squash Risotto,You may substitute the chanterelles for any other type of wild mushroom - ideally freshly picked! ,,4,-,,1,2,2,1,easy,,,4,Lamb,4,1.5-2hr
6,,Keema Aloo,"A delicious, indian-style curry which is very simple to make! A favourite of ours here at grubdaily. Great served with fluffy white rice, a dollop of yoghurt and a lemon wedge.",,4,-,,4,2,3,1,easy,,,5,Pork,5,over 2hrs
7,,English Breakfast Muffins,"I used to always buy my muffins from the shop, but I came across this recipe and had some time to kill, so I decided to try it out. They were great, really soft, doughy and chewy, much better than their shop-bought counterparts. The combination of textures is what makes a muffin so enjoyable; the slightly crispy outer layer that you get from cooking them on a griddle or frying pan contrasts beautifully with the soft doughy inside. It's scrumptious! They are best eaten when still warm from cooking.",Adapted from a recipe found in Gastronomique.,-,about 9,2,-,3,4,7,easy,Y,Y,6,Bacon,,
8,,Curried Parsnip Soup,"This curried parsnip soup is the perfect form of resistance against the winter cold; it will warm your aching bones and put a smile on your face, I guarantee it. The chilli gives it a fiery kick which really helps warm you up! The recipe has the unusual addition of coconut - just a hint - which may come as a surprise, but it really transforms the soup and makes it extra delicious.",Adapted from a recipe found in Soup by Maguerite Patten,4,-,2,1,2,1,5,easy,Y,Y,7,Sausages,,
9,,Red-onion Chutney,"I am making some red onion chutney, it should exceedingly tasty - the perfect accompaniment to cheese and crackers, or liver pate on toast... Many tears were shed during the preparation process (it will be worth it!), and there is a lovely pot of goodness bubbling away on the stove right now. The lovely tangy smell is filling the whole house and putting smiles on many faces.",Inspired from Blackmore's,,3-4 jam jars,1,1,5,1,6,easy,Y,Y,8,Ham,,
10,,Puerco Pibil,"For dinner this Christmas eve I made Puerco Pibil - a slow-cooked pork dish with an amazingly intense flavour. It's flavoured -and coloured- with annatto seeds; they have a distinctive, slightly sharp flavour and a deep red colour, as you can see from the photos. This is an uncompromising meal. When you eat, it rampages down your throat. When I first made it, 'twas was like nothing I had ever tasted before and it remains one of the most unique flavours I have ever encountered. It's not just the heat from the chilli, its the combination of that along with the vinegary tang and the distinctive flavour of annatto which makes it. You have to try it.",Thank you Robert Rodriguez!,6,-,,5,5,6,1,easy,Y,Y,9,Duck,,
11,,Spaghetti Carbonara,"The best pasta dish on the planet, I reckon, could only be the glorious Carbonara. It exemplifies everything great about Italian cuisine – simple, quick and with an emphasis on quality ingredients. It can be deceptively tricky to perfect however; too much heat when adding the eggs can result in scrambling them instead of gently cooking them to get the desired silky smooth sauce. My favourite way to have this meal is to make the sauce fairly runny, so that a lovely gooey creamy sauce collects at the bottom of your bowl. Each forkfull can then be stirred through this sauce to get it well coated before shoving it in your mouth with gusto, licking your lips and greedily going for another mouthful. This should not be done with any attempt to look dignified – just enjoy it!",,2,-,,6,1,2,1,medium,Y,Y,Diet ID,,Cuisine ID,
12,,Luxurious Chicken & Green Olive Stew,,,,,,,,,,,y,,1,Vegan,1,French
13,,Cranachan,"This has to be the quintessential Scottish dessert. Comprising almost entirely of classic Scottish produce; raspberries, porridge oats, honey and Scotch whiskey, they are flavours that compliment eachother perfectly. You can’t really go wrong here in terms of method and quantities, if you just throw all of it together in a bowl and mix, you couldn’t fail to end up with something delicious. Normally though, the cream is whipped to form soft-peaks to provide some body and texture. Also I have crushed some of the raspberries with honey to make a kind of sauce, and also cooked the oats with the honey to form crunchy clusters which give some bite when folded through the cream.",,4,,2,,1,4,8,easy,,,2,Vegetarian,2,Italian
14,,Crab Salad,"Of all the delicious things in the world to eat, crab is easily one of my favourites. It's got an intense flavour of the sea and it's succulent, sweet and juicy. In short, it's fantastic. Preparing crab involves a bit of work and is fairly time consuming... but it's a labour of love and something I'd urge everyone to try. Cooked in generously seasoned water, the beautiful white meat is excellent whilst still warm, eaten straight from the shell. It hardly needs anything more, although mix it with a little mayonnaise, herbs and lemon juice and you have the beginnings of a delicious salad. I've been wanting to write a crab recipe for a while now, but found it difficult to think of a really photogenic looking dish that wasn't just a rip-off from one of the restaurants I've worked in. The custard part of this dish is similar to a crab creme brulee that we did at Wedgwood, and it's really tasty. The sweet flavour of crab infuses really well in cream, and the fresh herbs added at the end finish it off beautifully.",,6,,5,,5,4,2,medium,,,3,Gluten Free,3,Indian
15,,Stars and Stripes Bagel,"I was introduced to the ""Stars and stripes"" bagel by my brother Rob, who had had one from the Bagel Factory. The filling comprises of bacon, cream cheese, tomatoes and guacamole. It occurred to him that it'd be pretty good with the addition of sweet chilli sauce, which he requested, and he was right! He made it at home for me a couple of of times and it was excellent. So this is my homage to Rob's improved stars and stripes, with a slight variation...instead of guacamole I just used slices of avocado and seasoned them nicely with sea salt, black pepper, olive oil and a little lime juice.",,2,,,6,1,8,2,easy,,,4,Dairy Free,4,British
16,,Roast Garlic Soup,"I have always been a huge fan of garlic. It’s an awesome ingredient that provides a remarkable amount of flavour given its size… it is small but strong! Obviously it’s more potent when raw, and when used for something like pesto or hummus, you need only a tiny bit. After cooking garlic, however, it loses most of it’s kick and becomes much more mellow. So, if you’re making a pasta sauce for example, you might want a decent amount - 3 or 4 cloves perhaps - to sweat with olive oil for the base of the sauce. Roasting garlic increases the mellowing effect even more, and gives it an amazing deep flavour. This is my favourite way to prepare garlic, and it’s perfect for making soup.",,4,,"3,5",1,4,4,5,easy,,,5,Nut Allergy,5,Chinese
17,,Goat’s Cheese and Red Onion Tart,,,4,,"2,5",,4,4,2,medium,,,,,6,Mexican
18,,Cullen Skink,"A perfect combination of smoked haddock, potatoes, leeks and cream make up this classic Scottish soup. I have written already about my love for smoked haddock in my Arbroath Smokie post, and this soup is further evidence for why smoked haddock is basically awesome. Some recipes for Cullen Skink will instruct to keep a rustic broth-like consistency, with pieces of potato and haddock giving a nice chunky texture, but I prefer to make a super smooth soup, like a veloute, and then garnish the soup with diced potatoes, flaked smoked haddock and herbs. This gives a nice texture contrast, but also looks fantastic too.",,4,,3,,2,4,5,easy,,,,,7,Thai
19,,"Aubergine, Tomato, Parmesan","Melanzane alla Parmigiana is a classic Italian dish of fried aubergines, tomato and parmesan, a bit like a lasagne but with aubergines instead of pasta. And it is delicious! Superior to lasagne in my opinion, if I had to choose between the two, melanzane  would win hands down. It’s so hot today I have opened all the windows and there is a warm breeze blowing through the room. The weather puts me in the mood for a salad, and thinking about this dish gave me the idea of doing a salad version of it, with crispy aubergine slices, fresh tomatoes and shavings of parmesan. The thought of it has my mouth watering already..",,4,,"1,2,3,5",1,3,2,2,easy,,,,,8,American
20,,Sticky Toffee Pudding,,,,,,,,,,,,,,,,
21,,Roast Mushroom Soup,"I have long been an advocate of the humble button mushroom. It’s one of these ingredients that’s so commonplace, I reckon it’s not appreciated to its full potential. A staple in your greasy breakfast fry-up, or as a mediocre ‘cream of mushroom soup’, the button mushroom is actually so much better that you might realise. They are high in umami – the taste that makes things savory – and they have a lot of powerful flavour locked inside. One of their characteristics is that they have an extremely high water content, making the flavour rather bland until you have reduced the moisture. I’ve also found that when you fry them in a hot pan with a pinch of salt until they’re dark and caramelised, the flavour is amazingly intense and savory. This is what gave me the idea of doing a roast mushroom soup. It’d be better than the average mushroom soup as it would be a rich golden colour, instead of grey, and the resulting flavour would be all the more powerful.",,4,,"1,3",1,5,4,5,easy,,,Dish Type ID,,,
22,,Stuffed Saddle of Lamb,"Lamb chops were always a staple part of our diet when we were young, usually simply roasted and served with baked potatoes and veg from the garden; simple but delicious. The loin meat from the top half of the saddle - the best end - is some of nicest and most tender from the whole animal. Keep the chops attached and you have a rack of lamb, perfect to roast whole and carve into classic lamb cutlets. The bottom half of the saddle - the short saddle - does not have any rib bones and so you would normally just roast this as a piece of loin. What we do in the restaurant is a little more special however; we take the loin from the bone, leaving a flap of the belly fat attached, then make a stuffing from sauteed kidneys and spinach and roll the loin up inside the fat. The saddle is then tied with string and roasted. It’s a lovely way to cook the loin meat as it’s quite well protected from the surrounding fat.",,,,,,,,,,,,1,Main,,
23,,"Roast Pork Fillet, Grain Mustard Sauce","Pork fillets are easily obtainable and relatively inexpensive, but the best thing about them is they usually come with trimmings attached to them which must be removed before cooking; and with these trimmings you can make a quick and delicious homemade sauce with no pre-made stocks or artificial seasoning. Just simple fresh ingredients. This recipe is one of the easiest and most delicious things to do with a pork fillet, and personal favourite of mine. Grain mustard is a classic pairing for pork, and combined with creamy mashed potatoes and cabbage, it’s an absolute winner!",,,,,,,,,,,,2,Light/Starter,,
24,,Arbroath Smoky,"With a coastline as extensive and diverse as Scotland’s, it’s not surprising that seafood is so popular here. The process of salting and smoking fish was originally a method of preserving the fish to enable long storage. Although not necessary as a means of survival anymore, smoked fish - salmon and haddock in particular - is commonly enjoyed all over the country because it’s simply delicious! I recently had great pleasure in making Cullen Skink - the traditional Scottish soup made with smoked haddock - but since it has been so warm recently I wanted to do something a bit less hearty and filling. Some sort of salad seemed like the best thing to do, so I just warmed the fish gently in some milk, and flaked it over a simple salad of baby spinach, spring onions and courgette sliced thinly into ribbons. Topped finally with a poached egg, simple but delicious.",,,,,,,,,,,,3,Salad,,
25,,Lamb and Piperade,,,,,,,,,,,,,4,Side ,,
26,,Pear and Blue Cheese Salad,,,,,,,,,,,,,5,Soup,,
27,,Pasta Puttanesca,"My good friend Lewis gave me a slow cooker for my birthday this year, its fantastic because it allows me to braise meat and stews for a long time without having to be in the house. When I am sweating it out in the kitchen at work for 16 hours a day I can have my dinner slowly cooking for when I get back. I make tomato sauce with the slow cooker; tinned tomatoes, onion, garlic, and tomato puree simmered gently for several hours until it is dark and reduced. I then puree and pass it through a fine sieve to make it extra smooth. What you get is an amazingly rich dark red sauce. This can be used for any number of things, but my current favourite is to make salty pungent puttanesca with it. Classic puttanesca sauce is accompanied by spaghetti; literally “whore’s style spaghetti”, it’s packed with in-your-face flavours. Traditionally made with tomatoes, garlic, black olives, anchovies and capers, it’s salty and more-ish. It’s a good dish to have in your repertoire; because it’s made almost entirely with store cupboard ingredients it can be rustled up with just a moment’s notice, although in my recipe the tomato sauce is simmered for eight hours to make it extra rich. This isn’t essential but will make your sauce taste amazing! I recommend making a big batch of sauce and freezing it. As there are so many big and bold flavours going on here, I have added a good handful of parsley and basil to bring some freshness to the dish and vital splash of green, making it particularly eye-catching. I’m pleased with the photograph too, I think it does justice to the dish.",,4,,,,,,,,,,6,Accompaniment,,
28,,Chocolate Mousse,"For the last six months at work I’ve been on desserts, getting to grips with the complexities of sugar, caramel, chocolate and eggs in all their different forms (not to mention all the fantastic fruit and berries in season just now!). Chocolate is a steadfast ingredient in any dessert menu and quite fascinating to work with. Recently I have just learned how to temper chocolate to give it an amazingly shiny, brittle finish. It’s not the easiest thing to achieve; a precise technique that’s really satisfying when it works properly! Another thing I’ve been getting my head around is chocolate mousse; a classic dessert which is subtly difficult to perfect. I remember making it when I was young; whipped cream folded into melted chocolate, always resulting in a smooth but rather dense and rich mousse. A perfect mousse should be really light and melts in the mouth; not what I have in my memories of childhood! The lightness comes from incorporating whipped cream and whipped egg whites into the melted chocolate, but the result depends of the temperature of the chocolate; too hot and the air will collapse from the mousse; too cold and the chocolate will sieze up and become grainy. This recipe works well, the secret here is to heat and whisk egg yolks with sugar and water (or coffee, as in this recipe) to create a silky light sabayon which the chocolate is then melted into. From there I add whipped cream, and lastly some soft whipped egg whites to make it extra light and aerated.",,,,,,,,,,,,7,Bakery,,
29,,Chicken and Coriander Broth,"I was clearing out my fridge a few weeks ago and came across a selection of root vegetables lurking there, waiting to be turned into something tasty. The first thing that came to my mind was soup, and since we were in the middle of winter I was thinking along the lines of a chunky, meaty broth. I decided on Chicken, which would provide my soup with both the chunky meat component and the stock. A bunch of fresh coriander which also happened to be in my fridge could be involved here in some way, I thought. I remembered a Madhur Jaffrey recipe for coriander chicken curry, involving large quantities of fresh coriander, resulting in a vibrant green curry sauce. It was fantastic, and so I reckoned it could work in my soup too. The earthiness of all those root vegetables would be balanced by the fresh zing of the coriander, perhaps. I prepared the chicken in my usual way; removed the breasts, then cut up the remaining carcass into small pieces and fried until nicely caramelised for the stock. This time I actually chopped up the wings and legs too and added them to the stock for extra flavour. Once the stock was almost ready, after an hour or so, I took some out to gently poach the breast meat in a separate pan. Once perfectly barely cooked, I allowed them to cool before carefully cutting them into dice. All the vegetables and chicken diced to the same size, making for an attractive looking bowl of broth.",,,,,,,,,,,,8,Dessert,,
30,,Custard Tart,"After my quiche, which turned out to be lovely after a few attempts, the next obvious thing to do cook in my nice 9 x 2 inch cake ring was something sweet. I’ve always loved custard in its various forms; crème brûlée, anglaise, crème caramel…and custard tarts. The custard tart was glorified by Marcus Wareing when he cooked it for the Queen’s 80th birthday on the Great British Menu, and his recipe is “as close to perfection as any custard tart can be”, to quote the man himself. So this is it, except mine is bigger, and I used a different pastry to make the case. It’s the same basic pâte Brisée that Thomas Keller uses in his quiche, with the addition of sugar. It gives a simple, but beautifully light crust. You need a decent oven with a fan in it to cook the pastry. If your oven isn’t hot enough when you blind bake the pastry it’ll not set into shape properly. The oven in my new flat is rubbish, it heats from the bottom by a gas flame and there’s no fan so it doesn’t cook evenly at all. By the time the sides of the pastry were cooked the bottom was burnt! My first attempt was a disaster so I resorted to calling a friend; “Hi Richard can I come over to yours and make a custard tart?” He burst out laughing at me – this was quite an unusual request apparently – but was more than happy for me to make use of his oven to make delicious treats! And the pastry turned out beautifully. Thanks Richard!",,,,,,,,,,,,,,,
31,,Chicken and Pancetta,"I made this for my dinner a few weeks ago, I didn’t intend for it to be photographed and put up here, but it looked so good that I had to take a few snaps of it. It’s a really nice way to prepare chicken, and pretty easy too. I like chicken legs because they have so much more flavour than the breast meat, and by removing the bones and sinew they become an effortless pleasure to eat! The great thing about this dish is when you slice the chicken leg you see the beautiful glistening cross-section of the muscle, outlined by the crispy pancetta. I served it with sautéed button mushrooms, courgettes and a white wine cream sauce, generously finished with chopped parsley and a handful of baby spinach gently wilted through the sauce at the end. I love cooking vegetables and sauce together like this, in a kind of ragout…I advise a generous heap to present your chicken on, and have it with a salad and some nice white wine.",,,,,,,,,,,,,,,
32,,Leek and Roquefort Quiche,"I was recently given the Bouchon collection, a set of books by one of my idols; Thomas Keller of The French Laundry. Bouchon is the three Michelin starred chef’s bistro in Yountville, California that serves French classics like beef bourguignon, salt cod brandade, and quiche. There is a chapter on the quiche where Keller talks about the lost art of making great quiche; something which seems to have gone out of fashion, or forgotten about. A proper quiche will be two inches deep, filled to the very brim with a barely set, perfectly light custard. The shortcrust pastry should be rich and crisp, and specifically 4-5mm thick, so that it remains crisp and doesn’t become soggy after cooking. I had a couple of attempts at this quiche before getting a satisfactory result, and I was pleased with my third try. I actually bought a 9″ quiche ring especially for the task as none of the pastry rings in my house were quite the right size. One of the brilliant things about this recipe is the lightness of the custard; Keller blitzes the custard mix in a blender before pouring into the pastry shell, aerating the mix and resulting in a delicate light filling. This recipe is more or less the same as that found in Bouchon, but I’ve added spinach to the filling and converted the ingredients from pounds and ounces to kilograms.",,,,,,,,,,,,,,,
33,,Hummus,"I have a wonderful book called Jerusalem by Yottam Ottolenghi and Sami Tamimi. Kind of an ode to their home city, it’s filled with stories and delicious recipes. I like middle eastern food because for me it strikes a perfect balance between the heavily spiced dishes of the subcontinent further east, and the simpler, more fresh cuisine found in the mediterranean to the west. Jerusalem is an ancient city with a turbulent history; having been besieged, conquered and captured countless times. As a result it’s a city of many varying cultures, religions and traditions, and the food of Jerusalem reflects this diversity. Hummus is a big thing in the middle east, especially in Jerusalem, and unsurprisingly there is an endless debate from opposing cultures about how it should be prepared; warm or cold… smooth and creamy or rustic and chunky. And which spices or garnishes to accompany it, if any at all. Most of the hummus I have had from the shops here in the UK have been almost smooth with a slight grainy texture to them. This recipe from Ottolenghi is really smooth and creamy, and much lighter in colour than hummus I’ve had before. It’s opened my eyes to how great hummus can be… I definitely recommend you try it! I made it into a light lunch by simply garnishing it with a pile of chopped coriander, tomatoes, pine nuts and olive oil. I devoured it with some fresh toasted pitta bread. Fantastic.",,,,,,,,,,,,,,,
34,,Mum's Tomato Soup,"This soup is extremely popular in our household, and one of the first recipes I learned off by heart. Probably closer to minestrone than tomato, It’s thick and hearty, guaranteed to fill you up. Instead of pasta, as in a typical minestrone, this soup has a handful of rice thrown in the beginning which swells up to thicken the liquid and give it some body. You could use lentils instead, if you prefer. This is a chunky, broth-like soup rather than being smooth and silky, and although I like to cut all the vegetables to a nice uniform shape and size, you can cut them any old way and be as rustic as you like. As with many soups, the quality of this one comes down to the stock. I will usually make this soup after cooking a joint of smoked gammon or bacon, using the delicious salty liquid as the meaty backbone for my tomatoey broth. I highly advise this, if not then some nice vegetable stock is an acceptable alternative. This soup is best enjoyed with freshly baked bread and butter. As for us, we were treated to Dad’s crusty baguettes, still piping hot from the oven",,,,,,,,,,,,,,,
35,,Confit Guineafowl with Lentils,"My confit guinea fowl legs had been sitting happily in the fridge since last week and were just waiting to be turned into something tasty. After the success of the root veg that I served with the breast, I decided to go with something similar…with the addition of lentils. We serve puy lentils like this at work, served with hake which is pan fried with a nice crisp skin. It’s a really versatile garnish though, and works well with chicken, confit duck also. Although the flavour of the confit legs will be best if you leave them to mature in the fat for a week or more, you can do them just a day ahead and still get delicious results. I love lentils prepared like this. The addition of diced vegetables and bacon brings a freshness to the heavy lentils and elevates this dusty store-cupboard ingredient to new heights. And finishing it with freshly chopped garlic and a little white wine vinegar gives a much needed kick. A drizzle of olive oil around, and some crunchy sea salt on the crispy confit skin gives the final touch.",,,,,,,,,,,,,,,
